"DATA_GERACAO";"HORA_GERACAO";"ANO_ELEICAO";"NUM_TURNO";"DESCRICAO_ELEICAO";"SIGLA_UF";"SIGLA_UE";"CODIGO_MUNICIPIO";"NOME_MUNICIPIO";"NUMERO_ZONA";"CODIGO_CARGO";"DESCRICAO_CARGO";"QTD_APTOS";"QTD_SECOES";"QTD_SECOES_AGREGADAS";"QTD_APTOS_TOT";"QTD_SECOES_TOT";"QTD_COMPARECIMENTO";"QTD_ABSTENCOES";"QTD_VOTOS_NOMINAIS";"QTD_VOTOS_BRANCOS";"QTD_VOTOS_NULOS";"QTD_VOTOS_LEGENDA";"QTD_VOTOS_ANULADOS_APU_SEP";"DATA_ULT_TOTALIZACAO";"HORA_ULT_TOTALIZACAO";"TRANSITO";"QTD_VOTOS_ANULADOS"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"422";"13";"VEREADOR";"135795";"373";"1";"135795";"373";"107494";"28301";"67190";"10619";"15727";"13958";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"422";"11";"PREFEITO";"135795";"373";"1";"135795";"373";"107494";"28301";"88997";"5708";"12789";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"375";"13";"VEREADOR";"241979";"753";"1";"241979";"753";"192735";"49244";"117163";"21640";"30252";"23680";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"375";"11";"PREFEITO";"241979";"753";"1";"241979";"753";"192735";"49244";"154516";"12436";"25783";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"381";"13";"VEREADOR";"212164";"603";"3";"212164";"603";"172395";"39769";"111385";"18741";"22301";"19968";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"381";"11";"PREFEITO";"212164";"603";"3";"212164";"603";"172395";"39769";"140907";"11450";"20038";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"392";"13";"VEREADOR";"124594";"392";"0";"124594";"392";"99837";"24757";"60836";"10257";"15863";"12881";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"392";"11";"PREFEITO";"124594";"392";"0";"124594";"392";"99837";"24757";"80031";"5884";"13922";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"247";"13";"VEREADOR";"112119";"326";"0";"112119";"326";"89329";"22790";"57103";"8837";"12865";"10524";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"247";"11";"PREFEITO";"112119";"326";"0";"112119";"326";"89329";"22790";"71327";"5749";"12253";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"327";"13";"VEREADOR";"118792";"332";"4";"118792";"332";"92624";"26168";"60088";"8248";"12886";"11402";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"327";"11";"PREFEITO";"118792";"332";"4";"118792";"332";"92624";"26168";"77201";"4497";"10926";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"328";"13";"VEREADOR";"162340";"424";"0";"162340";"424";"128615";"33725";"77949";"15482";"18372";"16812";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"328";"11";"PREFEITO";"162340";"424";"0";"162340";"424";"128615";"33725";"104687";"8339";"15589";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"347";"13";"VEREADOR";"171468";"472";"0";"171468";"472";"136042";"35426";"84017";"13019";"21441";"17565";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"347";"11";"PREFEITO";"171468";"472";"0";"171468";"472";"136042";"35426";"110686";"6987";"18369";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"353";"13";"VEREADOR";"167732";"490";"3";"167732";"490";"135168";"32564";"84335";"16194";"19562";"15077";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"353";"11";"PREFEITO";"167732";"490";"3";"167732";"490";"135168";"32564";"106246";"10111";"18811";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"373";"13";"VEREADOR";"132445";"384";"3";"132445";"384";"104498";"27947";"64998";"12376";"13711";"13413";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"373";"11";"PREFEITO";"132445";"384";"3";"132445";"384";"104498";"27947";"84118";"7140";"13240";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"374";"13";"VEREADOR";"229580";"738";"11";"229580";"738";"180096";"49484";"112964";"18036";"23264";"25832";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"374";"11";"PREFEITO";"229580";"738";"11";"229580";"738";"180096";"49484";"151926";"9190";"18980";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"376";"13";"VEREADOR";"235777";"651";"0";"235777";"651";"187613";"48164";"117984";"21642";"25665";"22322";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"376";"11";"PREFEITO";"235777";"651";"0";"235777";"651";"187613";"48164";"151884";"12683";"23046";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"398";"13";"VEREADOR";"99872";"301";"0";"99872";"301";"80864";"19008";"51405";"8666";"11454";"9339";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"398";"11";"PREFEITO";"99872";"301";"0";"99872";"301";"80864";"19008";"64348";"5452";"11064";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"390";"13";"VEREADOR";"115275";"334";"0";"115275";"334";"91552";"23723";"57616";"8734";"14271";"10931";"0";"02/10/2016";"21:53:43";"N";"0"
